PrescriptionID,PetID,VetID,Diagnosis,Dosage,DateIssued,MedicationID
PR20630,P06808,V1042,Nutritional Deficiency,1 times a day for 4 days,2024-09-08,M10000
PR20631,P00831,V1025,Mild Infection,2 times a day for 7 days,2024-10-03,M10004
PR20632,P02971,V1036,Severe Infection,2 times a day for 9 days,2024-10-25,M10002
PR20633,P09695,V1032,Severe Infection,3 times a day for 13 days,2024-02-05,M10002
PR20634,P04886,V1007,Mild Infection,2 times a day for 13 days,2024-06-14,M10004
PR20635,P04128,V1042,Nutritional Deficiency,2 times a day for 5 days,2024-06-14,M10000
PR20636,P01066,V1048,Severe Infection,2 times a day for 7 days,2024-07-27,M10002
PR20637,P09605,V1024,Severe Infection,2 times a day for 11 days,2024-12-04,M10002
PR20638,P00400,V1017,Allergic Dermatitis,2 times a day for 13 days,2024-01-13,M10000
PR20639,P02153,V1011,Fracture,3 times a day for 12 days,2024-12-15,M10015
PR20640,P06073,V1023,Nutritional Deficiency,1 times a day for 13 days,2024-06-02,M10000
PR20641,P08696,V1001,Allergic Dermatitis,1 times a day for 14 days,2024-03-03,M10000
PR20642,P07370,V1021,Mild Infection,2 times a day for 8 days,2024-05-07,M10004
PR20643,P09409,V1049,Severe Infection,3 times a day for 11 days,2024-04-26,M10002
PR20644,P05690,V1005,Nutritional Deficiency,3 times a day for 12 days,2024-07-17,M10000
PR20645,P02315,V1005,Severe Gingivitis,2 times a day for 12 days,2024-11-25,M10004
PR20646,P04701,V1034,Severe Gingivitis,1 times a day for 8 days,2024-06-18,M10004
PR20647,P01241,V1046,Internal Injury,1 times a day for 10 days,2024-09-16,M10053
PR20648,P07508,V1019,Severe Infection,3 times a day for 14 days,2024-03-02,M10002
PR20649,P06262,V1007,Fracture,2 times a day for 13 days,2024-02-11,M10083
PR20650,P00926,V1002,Fracture,3 times a day for 5 days,2024-12-30,M10046
PR20651,P00425,V1032,Fracture,1 times a day for 9 days,2024-03-23,M10085
PR20652,P08387,V1004,Nutritional Deficiency,3 times a day for 5 days,2024-10-03,M10000
PR20653,P05159,V1007,Severe Infection,3 times a day for 10 days,2024-06-08,M10002
PR20654,P01724,V1026,Severe Infection,2 times a day for 14 days,2025-01-20,M10002
PR20655,P04197,V1039,Parasitic Infestation,3 times a day for 10 days,2024-12-29,M10002
PR20656,P04906,V1010,Nutritional Deficiency,1 times a day for 4 days,2024-07-13,M10000
PR20657,P04208,V1037,Parasitic Infestation,3 times a day for 11 days,2024-02-07,M10002
PR20658,P08228,V1017,Parasitic Infestation,1 times a day for 3 days,2025-01-07,M10002
PR20659,P07567,V1021,Parasitic Infestation,1 times a day for 8 days,2024-08-07,M10002
PR20660,P09734,V1033,Mild Infection,2 times a day for 6 days,2024-07-25,M10004
PR20661,P06547,V1032,Fracture,3 times a day for 8 days,2024-02-13,M10048
PR20662,P00784,V1013,Fracture,2 times a day for 7 days,2024-06-20,M10026
PR20663,P01826,V1023,Nutritional Deficiency,1 times a day for 8 days,2024-11-18,M10000
PR20664,P09599,V1037,Parasitic Infestation,2 times a day for 4 days,2024-11-11,M10002
PR20665,P08536,V1011,Nutritional Deficiency,1 times a day for 5 days,2024-11-05,M10000
PR20666,P05002,V1001,Allergic Dermatitis,3 times a day for 11 days,2024-05-22,M10000
PR20667,P02311,V1029,Internal Injury,2 times a day for 9 days,2024-05-05,M10002
PR20668,P01167,V1004,Severe Gingivitis,2 times a day for 14 days,2024-11-19,M10004
PR20669,P08655,V1027,Parasitic Infestation,3 times a day for 7 days,2024-09-02,M10002
PR20670,P00366,V1017,Mild Infection,3 times a day for 9 days,2024-02-11,M10004
PR20671,P03272,V1031,Nutritional Deficiency,1 times a day for 9 days,2025-01-08,M10000
PR20672,P03941,V1020,Internal Injury,2 times a day for 12 days,2024-08-07,M10038
PR20673,P07355,V1017,Nutritional Deficiency,1 times a day for 3 days,2024-07-25,M10000
PR20674,P06677,V1031,Parasitic Infestation,2 times a day for 12 days,2024-12-07,M10002
PR20675,P04177,V1035,Dental Abscess,1 times a day for 12 days,2024-04-20,M10070
PR20676,P01288,V1049,Internal Injury,1 times a day for 12 days,2024-05-12,M10082
PR20677,P07341,V1042,Nutritional Deficiency,1 times a day for 3 days,2024-02-19,M10000
PR20678,P07342,V1010,Fracture,1 times a day for 13 days,2024-07-06,M10067
PR20679,P02774,V1032,Mild Infection,3 times a day for 5 days,2024-12-22,M10004
PR20680,P09104,V1040,Severe Infection,1 times a day for 8 days,2024-10-29,M10002
PR20681,P03449,V1038,Mild Infection,2 times a day for 7 days,2024-09-08,M10004
PR20682,P00408,V1039,Fungal Infection,1 times a day for 12 days,2024-02-27,M10004
PR20683,P06727,V1033,Tooth Decay,1 times a day for 14 days,2024-06-17,M10026
PR20684,P06628,V1018,Fracture,3 times a day for 12 days,2024-02-01,M10070
PR20685,P09313,V1011,Nutritional Deficiency,3 times a day for 13 days,2024-02-28,M10000
PR20686,P00453,V1008,Internal Injury,2 times a day for 5 days,2025-01-16,M10000
PR20687,P00891,V1034,Severe Gingivitis,3 times a day for 10 days,2024-08-28,M10004
PR20688,P01899,V1039,Fungal Infection,1 times a day for 12 days,2025-01-12,M10004
PR20689,P01607,V1048,Internal Injury,2 times a day for 6 days,2024-01-01,M10078
PR20690,P03762,V1044,Severe Infection,3 times a day for 5 days,2024-02-04,M10002
PR20691,P04104,V1026,Mild Infection,3 times a day for 11 days,2024-10-09,M10004
PR20692,P09350,V1003,Fracture,2 times a day for 9 days,2024-09-21,M10066
PR20693,P01236,V1006,Mild Infection,3 times a day for 12 days,2025-02-20,M10004
PR20694,P00988,V1021,Mild Infection,2 times a day for 6 days,2024-09-12,M10004
PR20695,P03774,V1044,Internal Injury,3 times a day for 11 days,2024-06-07,M10083
PR20696,P00876,V1032,Internal Injury,1 times a day for 9 days,2025-02-10,M10056
PR20697,P05572,V1048,Internal Injury,3 times a day for 5 days,2024-01-18,M10078
PR20698,P00737,V1039,Fungal Infection,2 times a day for 9 days,2024-12-01,M10004
PR20699,P06858,V1035,Dental Abscess,2 times a day for 9 days,2024-01-06,M10015
PR20700,P06851,V1015,Internal Injury,2 times a day for 14 days,2024-12-31,M10014
PR20701,P02220,V1021,Fungal Infection,1 times a day for 6 days,2024-12-29,M10004
PR20702,P03898,V1041,Allergic Dermatitis,2 times a day for 13 days,2024-12-01,M10000
PR20703,P01324,V1015,Severe Infection,3 times a day for 4 days,2024-07-16,M10002
PR20704,P08029,V1048,Fracture,2 times a day for 8 days,2024-06-17,M10077
PR20705,P09881,V1000,Mild Infection,3 times a day for 3 days,2024-10-19,M10004
PR20706,P03477,V1025,Fracture,1 times a day for 14 days,2024-08-12,M10056
PR20707,P05917,V1039,Fungal Infection,1 times a day for 13 days,2024-08-28,M10004
PR20708,P02177,V1003,Fracture,2 times a day for 6 days,2025-01-10,M10032
PR20709,P04791,V1027,Mild Infection,3 times a day for 9 days,2024-09-07,M10004
PR20710,P02769,V1000,Internal Injury,3 times a day for 4 days,2024-02-08,M10035
PR20711,P00619,V1015,Severe Infection,2 times a day for 14 days,2024-07-10,M10002
PR20712,P09099,V1036,Mild Infection,2 times a day for 8 days,2025-01-23,M10004
PR20713,P05490,V1016,Severe Infection,2 times a day for 12 days,2024-07-03,M10002
PR20714,P01079,V1040,Fracture,2 times a day for 6 days,2024-02-28,M10000
PR20715,P06035,V1049,Fracture,3 times a day for 12 days,2024-06-09,M10067
PR20716,P01859,V1049,Fracture,3 times a day for 7 days,2024-03-01,M10018
PR20717,P04635,V1023,Mild Infection,3 times a day for 8 days,2025-01-01,M10004
PR20718,P08680,V1007,Mild Infection,3 times a day for 3 days,2024-04-21,M10004
PR20719,P02591,V1030,Fracture,2 times a day for 12 days,2024-07-07,M10064
PR20720,P03958,V1034,Tooth Decay,3 times a day for 14 days,2024-03-09,M10058
PR20721,P04140,V1001,Fungal Infection,2 times a day for 8 days,2025-02-09,M10004
PR20722,P09547,V1028,Severe Infection,1 times a day for 11 days,2024-05-17,M10002
PR20723,P05501,V1022,Allergic Dermatitis,2 times a day for 13 days,2024-04-29,M10000
PR20724,P05093,V1029,Fracture,3 times a day for 8 days,2024-12-18,M10004
PR20725,P01035,V1037,Fungal Infection,3 times a day for 10 days,2024-03-30,M10004
PR20726,P00662,V1031,Nutritional Deficiency,3 times a day for 4 days,2024-10-30,M10000
PR20727,P05478,V1038,Tooth Decay,2 times a day for 7 days,2024-03-26,M10015
PR20728,P07266,V1022,Mild Infection,1 times a day for 13 days,2024-05-08,M10004
PR20729,P09637,V1040,Severe Infection,2 times a day for 6 days,2024-01-12,M10002
PR20730,P04839,V1026,Fracture,1 times a day for 9 days,2024-04-12,M10078
PR20731,P03916,V1013,Fracture,2 times a day for 6 days,2024-05-07,M10070
PR20732,P05869,V1044,Internal Injury,2 times a day for 12 days,2024-05-11,M10056
PR20733,P09829,V1040,Mild Infection,1 times a day for 14 days,2024-02-01,M10004
PR20734,P02377,V1012,Severe Infection,2 times a day for 8 days,2024-06-30,M10002
PR20735,P07698,V1018,Severe Infection,3 times a day for 14 days,2024-09-02,M10002
PR20736,P04114,V1040,Mild Infection,2 times a day for 4 days,2024-03-12,M10004
PR20737,P04048,V1037,Parasitic Infestation,1 times a day for 6 days,2024-09-07,M10002
PR20738,P06772,V1023,Parasitic Infestation,1 times a day for 11 days,2024-04-30,M10002
PR20739,P05444,V1026,Fracture,2 times a day for 11 days,2024-07-01,M10015
PR20740,P07362,V1016,Fracture,3 times a day for 6 days,2024-07-12,M10053
PR20741,P00307,V1034,Dental Abscess,3 times a day for 9 days,2024-02-22,M10020
PR20742,P05256,V1023,Fungal Infection,1 times a day for 6 days,2024-09-15,M10004
PR20743,P02363,V1034,Dental Abscess,1 times a day for 10 days,2024-10-26,M10000
PR20744,P05159,V1033,Nutritional Deficiency,3 times a day for 5 days,2024-06-13,M10000
PR20745,P00982,V1020,Mild Infection,2 times a day for 13 days,2025-01-09,M10004
PR20746,P00301,V1007,Internal Injury,3 times a day for 9 days,2024-10-06,M10035
PR20747,P08949,V1049,Severe Infection,1 times a day for 10 days,2024-06-06,M10002
PR20748,P05604,V1026,Nutritional Deficiency,3 times a day for 12 days,2024-08-01,M10000
PR20749,P01071,V1008,Severe Infection,3 times a day for 6 days,2024-10-29,M10002
PR20750,P09526,V1034,Nutritional Deficiency,1 times a day for 3 days,2025-01-05,M10000
PR20751,P08571,V1044,Severe Infection,3 times a day for 11 days,2024-09-27,M10002
PR20752,P03370,V1040,Nutritional Deficiency,1 times a day for 8 days,2025-01-15,M10000
PR20753,P03191,V1005,Severe Gingivitis,2 times a day for 9 days,2024-02-09,M10004
PR20754,P06093,V1045,Fungal Infection,1 times a day for 9 days,2024-03-13,M10004
PR20755,P05886,V1009,Internal Injury,1 times a day for 11 days,2024-09-25,M10032
PR20756,P00099,V1034,Dental Abscess,1 times a day for 12 days,2024-01-11,M10000
PR20757,P02336,V1019,Severe Infection,1 times a day for 9 days,2024-04-17,M10002
PR20758,P00885,V1043,Nutritional Deficiency,1 times a day for 11 days,2024-08-09,M10000
PR20759,P03187,V1000,Nutritional Deficiency,2 times a day for 6 days,2024-08-07,M10000
PR20760,P09496,V1003,Fracture,3 times a day for 6 days,2024-10-26,M10002
PR20761,P08556,V1018,Fracture,3 times a day for 12 days,2024-05-31,M10014
PR20762,P06064,V1001,Allergic Dermatitis,3 times a day for 14 days,2024-04-26,M10000
PR20763,P02073,V1044,Fracture,3 times a day for 4 days,2025-02-22,M10056
PR20764,P01755,V1033,Dental Abscess,2 times a day for 14 days,2024-01-02,M10067
PR20765,P02309,V1011,Severe Infection,3 times a day for 6 days,2024-03-09,M10002
PR20766,P06626,V1010,Severe Infection,1 times a day for 6 days,2024-01-07,M10002
PR20767,P05394,V1006,Parasitic Infestation,2 times a day for 5 days,2024-06-09,M10002
PR20768,P03279,V1019,Severe Infection,2 times a day for 3 days,2024-12-25,M10002
PR20769,P00245,V1038,Severe Gingivitis,2 times a day for 9 days,2024-10-25,M10004
PR20770,P03976,V1041,Allergic Dermatitis,1 times a day for 3 days,2024-03-30,M10000
PR20771,P03279,V1011,Mild Infection,3 times a day for 14 days,2024-07-24,M10004
PR20772,P07256,V1029,Mild Infection,1 times a day for 11 days,2024-03-02,M10004
PR20773,P05627,V1007,Nutritional Deficiency,1 times a day for 6 days,2024-08-01,M10000
PR20774,P09879,V1019,Severe Infection,3 times a day for 3 days,2024-05-12,M10002
PR20775,P04913,V1031,Nutritional Deficiency,3 times a day for 8 days,2024-01-29,M10000
PR20776,P06989,V1021,Allergic Dermatitis,1 times a day for 3 days,2024-12-29,M10000
PR20777,P08425,V1046,Severe Infection,3 times a day for 6 days,2024-05-21,M10002
PR20778,P09801,V1030,Internal Injury,1 times a day for 10 days,2024-07-30,M10018
PR20779,P03291,V1033,Severe Gingivitis,3 times a day for 5 days,2024-12-29,M10004
PR20780,P04027,V1010,Nutritional Deficiency,2 times a day for 11 days,2024-06-25,M10000
PR20781,P06155,V1015,Internal Injury,3 times a day for 8 days,2024-11-20,M10018
PR20782,P09837,V1024,Fracture,3 times a day for 5 days,2025-01-02,M10085
PR20783,P07519,V1048,Internal Injury,2 times a day for 5 days,2024-01-06,M10018
PR20784,P07059,V1035,Dental Abscess,3 times a day for 10 days,2025-02-12,M10020
PR20785,P01424,V1031,Fungal Infection,3 times a day for 9 days,2024-10-30,M10004
PR20786,P09946,V1033,Tooth Decay,1 times a day for 14 days,2024-04-30,M10000
PR20787,P06059,V1014,Nutritional Deficiency,2 times a day for 3 days,2025-02-16,M10000
PR20788,P07353,V1045,Parasitic Infestation,3 times a day for 6 days,2024-10-03,M10002
PR20789,P07821,V1025,Fracture,2 times a day for 3 days,2024-01-15,M10083
PR20790,P03077,V1003,Severe Infection,3 times a day for 11 days,2024-03-02,M10002
PR20791,P09685,V1049,Internal Injury,1 times a day for 6 days,2024-06-15,M10085
PR20792,P02389,V1028,Nutritional Deficiency,1 times a day for 5 days,2024-06-22,M10000
PR20793,P08608,V1043,Dental Abscess,2 times a day for 12 days,2024-07-17,M10067
PR20794,P01862,V1027,Parasitic Infestation,3 times a day for 5 days,2024-07-02,M10002
PR20795,P05282,V1038,Dental Abscess,2 times a day for 14 days,2024-05-31,M10077
PR20796,P09827,V1027,Mild Infection,2 times a day for 10 days,2024-05-10,M10004
PR20797,P00819,V1045,Mild Infection,1 times a day for 13 days,2024-09-09,M10004
PR20798,P02155,V1004,Tooth Decay,2 times a day for 13 days,2024-01-31,M10015
PR20799,P09317,V1039,Parasitic Infestation,3 times a day for 7 days,2024-08-13,M10002
PR20800,P05211,V1010,Fracture,3 times a day for 10 days,2024-02-21,M10018
PR20801,P01382,V1048,Severe Infection,1 times a day for 9 days,2024-07-18,M10002
PR20802,P00590,V1045,Parasitic Infestation,3 times a day for 13 days,2024-05-16,M10002
PR20803,P05309,V1039,Mild Infection,2 times a day for 6 days,2024-03-08,M10004
PR20804,P07959,V1006,Nutritional Deficiency,2 times a day for 10 days,2024-09-15,M10000
PR20805,P02828,V1000,Internal Injury,3 times a day for 8 days,2024-02-25,M10083
PR20806,P09399,V1045,Mild Infection,3 times a day for 8 days,2024-07-07,M10004
PR20807,P06974,V1031,Parasitic Infestation,1 times a day for 9 days,2024-02-22,M10002
PR20808,P08315,V1015,Internal Injury,3 times a day for 6 days,2024-07-26,M10004
PR20809,P01397,V1019,Fracture,3 times a day for 6 days,2024-01-09,M10066
PR20810,P05297,V1015,Internal Injury,2 times a day for 11 days,2024-10-06,M10083
PR20811,P09570,V1014,Fungal Infection,1 times a day for 3 days,2024-04-14,M10004
PR20812,P09355,V1016,Internal Injury,1 times a day for 9 days,2024-11-13,M10066
PR20813,P02000,V1036,Mild Infection,1 times a day for 7 days,2025-01-18,M10004
PR20814,P06919,V1015,Internal Injury,3 times a day for 7 days,2024-07-16,M10077
PR20815,P04894,V1022,Fungal Infection,1 times a day for 3 days,2024-12-25,M10004
PR20816,P04065,V1014,Parasitic Infestation,3 times a day for 12 days,2024-04-05,M10002
PR20817,P09334,V1004,Nutritional Deficiency,1 times a day for 4 days,2024-09-28,M10000
PR20818,P07957,V1000,Severe Infection,1 times a day for 4 days,2024-05-13,M10002
PR20819,P07397,V1008,Fracture,2 times a day for 6 days,2024-08-24,M10078
PR20820,P09367,V1014,Nutritional Deficiency,3 times a day for 14 days,2024-06-03,M10000
PR20821,P01299,V1031,Mild Infection,3 times a day for 12 days,2024-12-05,M10004
PR20822,P02852,V1003,Severe Infection,3 times a day for 5 days,2024-03-25,M10002
PR20823,P08513,V1008,Mild Infection,2 times a day for 4 days,2025-02-05,M10004
PR20824,P08505,V1022,Fungal Infection,1 times a day for 13 days,2024-08-20,M10004
PR20825,P09567,V1042,Tooth Decay,2 times a day for 5 days,2024-09-10,M10020
PR20826,P07327,V1029,Severe Infection,1 times a day for 11 days,2025-02-03,M10002
PR20827,P00541,V1036,Severe Infection,3 times a day for 5 days,2024-11-18,M10002
PR20828,P00326,V1022,Fungal Infection,1 times a day for 11 days,2024-12-20,M10004
PR20829,P00875,V1000,Internal Injury,3 times a day for 3 days,2024-08-20,M10000
PR20830,P00981,V1044,Fracture,3 times a day for 6 days,2024-07-20,M10035
PR20831,P08321,V1021,Allergic Dermatitis,1 times a day for 11 days,2024-01-03,M10000
PR20832,P03323,V1000,Internal Injury,3 times a day for 12 days,2024-05-04,M10048
PR20833,P04070,V1012,Nutritional Deficiency,3 times a day for 6 days,2024-07-05,M10000
PR20834,P05004,V1011,Nutritional Deficiency,3 times a day for 3 days,2024-12-18,M10000
PR20835,P00365,V1047,Severe Gingivitis,3 times a day for 10 days,2024-05-19,M10004
PR20836,P08689,V1009,Internal Injury,2 times a day for 6 days,2024-12-11,M10082
PR20837,P07512,V1002,Fracture,3 times a day for 13 days,2024-05-07,M10000
PR20838,P05661,V1012,Fracture,1 times a day for 8 days,2024-07-19,M10046
PR20839,P04516,V1037,Nutritional Deficiency,2 times a day for 13 days,2024-01-31,M10000
PR20840,P04282,V1039,Mild Infection,2 times a day for 4 days,2024-08-29,M10004
PR20841,P08497,V1013,Internal Injury,1 times a day for 9 days,2024-11-06,M10046
PR20842,P00568,V1005,Mild Infection,2 times a day for 4 days,2024-10-07,M10004
PR20843,P06385,V1021,Mild Infection,3 times a day for 8 days,2024-10-12,M10004
PR20844,P09140,V1016,Fracture,3 times a day for 6 days,2025-01-12,M10046
PR20845,P00768,V1004,Nutritional Deficiency,2 times a day for 14 days,2024-05-02,M10000
PR20846,P09641,V1000,Internal Injury,3 times a day for 7 days,2024-02-05,M10032
PR20847,P04573,V1018,Internal Injury,1 times a day for 4 days,2024-04-15,M10066
PR20848,P06527,V1017,Parasitic Infestation,3 times a day for 11 days,2024-02-04,M10002
PR20849,P05565,V1017,Parasitic Infestation,3 times a day for 11 days,2024-02-24,M10002
PR20850,P02994,V1004,Severe Gingivitis,1 times a day for 5 days,2024-03-08,M10004
PR20851,P07635,V1015,Fracture,3 times a day for 14 days,2025-02-07,M10066
PR20852,P05164,V1049,Fracture,1 times a day for 12 days,2024-11-27,M10085
PR20853,P04977,V1034,Dental Abscess,3 times a day for 11 days,2024-01-18,M10048
PR20854,P03681,V1030,Severe Infection,3 times a day for 12 days,2024-08-03,M10002
PR20855,P07788,V1045,Parasitic Infestation,3 times a day for 14 days,2025-02-19,M10002
PR20856,P09672,V1037,Nutritional Deficiency,3 times a day for 12 days,2024-08-04,M10000
PR20857,P04705,V1045,Parasitic Infestation,2 times a day for 12 days,2024-12-14,M10002
PR20858,P02459,V1014,Fungal Infection,3 times a day for 12 days,2024-08-11,M10004
PR20859,P06568,V1023,Mild Infection,3 times a day for 6 days,2025-01-08,M10004
PR20860,P08241,V1047,Tooth Decay,2 times a day for 7 days,2024-02-28,M10066
PR20861,P04947,V1041,Fungal Infection,1 times a day for 5 days,2024-10-04,M10004
PR20862,P02856,V1038,Nutritional Deficiency,2 times a day for 12 days,2024-04-12,M10000
PR20863,P06939,V1017,Allergic Dermatitis,2 times a day for 3 days,2024-12-17,M10000
PR20864,P09178,V1007,Fracture,2 times a day for 7 days,2024-12-07,M10020
PR20865,P05660,V1031,Nutritional Deficiency,2 times a day for 8 days,2024-05-30,M10000
PR20866,P04537,V1020,Mild Infection,1 times a day for 10 days,2024-08-18,M10004
PR20867,P05360,V1041,Nutritional Deficiency,2 times a day for 3 days,2024-12-16,M10000
PR20868,P05560,V1041,Fungal Infection,1 times a day for 9 days,2024-06-01,M10004
PR20869,P02638,V1011,Severe Infection,2 times a day for 9 days,2024-07-16,M10002
PR20870,P02748,V1016,Fracture,1 times a day for 10 days,2024-11-19,M10026
PR20871,P08078,V1036,Fracture,1 times a day for 10 days,2024-05-09,M10015
PR20872,P08026,V1028,Internal Injury,3 times a day for 3 days,2024-01-30,M10048
PR20873,P06340,V1041,Parasitic Infestation,1 times a day for 5 days,2024-10-29,M10002
PR20874,P07615,V1020,Internal Injury,1 times a day for 11 days,2024-03-11,M10038
PR20875,P07284,V1006,Parasitic Infestation,2 times a day for 14 days,2024-05-10,M10002
PR20876,P04420,V1036,Mild Infection,1 times a day for 12 days,2024-06-15,M10004
PR20877,P00583,V1048,Internal Injury,3 times a day for 8 days,2024-10-20,M10077
PR20878,P02997,V1039,Mild Infection,2 times a day for 7 days,2024-09-10,M10004
PR20879,P08692,V1042,Mild Infection,3 times a day for 10 days,2024-02-04,M10004
PR20880,P08921,V1017,Mild Infection,3 times a day for 5 days,2024-05-04,M10004
PR20881,P08844,V1048,Severe Infection,1 times a day for 12 days,2024-12-08,M10002
PR20882,P06773,V1028,Fracture,2 times a day for 12 days,2024-03-13,M10015
PR20883,P01434,V1005,Dental Abscess,3 times a day for 8 days,2025-02-24,M10078
PR20884,P01034,V1007,Severe Infection,1 times a day for 14 days,2024-03-22,M10002
PR20885,P08030,V1024,Severe Infection,2 times a day for 4 days,2024-06-02,M10002
PR20886,P08575,V1049,Internal Injury,3 times a day for 4 days,2024-03-15,M10058
PR20887,P02597,V1011,Fracture,1 times a day for 3 days,2024-07-07,M10077
PR20888,P08515,V1017,Nutritional Deficiency,2 times a day for 12 days,2024-10-20,M10000
PR20889,P07187,V1021,Fungal Infection,1 times a day for 4 days,2024-06-08,M10004
PR20890,P05519,V1039,Mild Infection,2 times a day for 6 days,2024-12-21,M10004
PR20891,P09041,V1022,Mild Infection,2 times a day for 3 days,2024-05-20,M10004
PR20892,P09104,V1023,Allergic Dermatitis,2 times a day for 12 days,2025-02-05,M10000
PR20893,P09250,V1024,Severe Infection,2 times a day for 4 days,2024-11-01,M10002
PR20894,P03426,V1037,Mild Infection,1 times a day for 10 days,2024-10-14,M10004
PR20895,P02457,V1033,Nutritional Deficiency,3 times a day for 4 days,2024-08-29,M10000
PR20896,P02054,V1027,Fungal Infection,3 times a day for 11 days,2024-02-29,M10004
PR20897,P06142,V1001,Mild Infection,2 times a day for 11 days,2024-02-17,M10004
PR20898,P09248,V1022,Allergic Dermatitis,2 times a day for 5 days,2024-11-02,M10000
PR20899,P07898,V1025,Nutritional Deficiency,1 times a day for 11 days,2024-08-20,M10000
PR20900,P05434,V1004,Dental Abscess,1 times a day for 14 days,2024-11-05,M10048
PR20901,P01451,V1040,Internal Injury,3 times a day for 6 days,2024-02-23,M10048
PR20902,P03885,V1032,Nutritional Deficiency,3 times a day for 8 days,2024-04-04,M10000
PR20903,P09126,V1015,Internal Injury,1 times a day for 4 days,2024-01-04,M10070
PR20904,P04518,V1021,Fungal Infection,1 times a day for 5 days,2025-02-16,M10004
PR20905,P04737,V1005,Nutritional Deficiency,2 times a day for 7 days,2024-07-29,M10000
PR20906,P01704,V1031,Fungal Infection,2 times a day for 11 days,2024-10-29,M10004
PR20907,P07283,V1026,Internal Injury,3 times a day for 14 days,2024-10-22,M10020
PR20908,P07474,V1014,Mild Infection,3 times a day for 3 days,2024-12-02,M10004
PR20909,P09065,V1044,Mild Infection,2 times a day for 12 days,2024-01-19,M10004
PR20910,P09320,V1001,Allergic Dermatitis,3 times a day for 3 days,2024-01-10,M10000
PR20911,P02753,V1023,Fungal Infection,3 times a day for 13 days,2024-06-12,M10004
PR20912,P07564,V1020,Nutritional Deficiency,1 times a day for 4 days,2024-01-22,M10000
PR20913,P09489,V1022,Fungal Infection,1 times a day for 5 days,2024-02-27,M10004
PR20914,P01623,V1006,Allergic Dermatitis,1 times a day for 12 days,2024-08-25,M10000
PR20915,P04831,V1025,Severe Infection,1 times a day for 8 days,2024-02-15,M10002
PR20916,P05583,V1017,Fungal Infection,1 times a day for 12 days,2024-05-29,M10004
PR20917,P06769,V1040,Fracture,3 times a day for 5 days,2024-11-03,M10038
PR20918,P05789,V1003,Internal Injury,2 times a day for 14 days,2024-02-06,M10015
PR20919,P05584,V1041,Allergic Dermatitis,2 times a day for 8 days,2024-08-18,M10000
PR20920,P05940,V1010,Severe Infection,3 times a day for 4 days,2024-08-13,M10002
PR20921,P09138,V1002,Fracture,1 times a day for 9 days,2024-05-08,M10048
PR20922,P00321,V1027,Parasitic Infestation,2 times a day for 8 days,2024-04-04,M10002
PR20923,P03519,V1048,Fracture,2 times a day for 3 days,2024-05-01,M10048
PR20924,P01523,V1021,Allergic Dermatitis,2 times a day for 6 days,2024-05-10,M10000
PR20925,P03036,V1041,Parasitic Infestation,3 times a day for 13 days,2024-12-20,M10002
PR20926,P04581,V1017,Mild Infection,3 times a day for 8 days,2024-05-28,M10004
PR20927,P07892,V1033,Nutritional Deficiency,2 times a day for 12 days,2025-02-17,M10000
PR20928,P03156,V1032,Severe Infection,1 times a day for 5 days,2024-07-10,M10002
PR20929,P03357,V1017,Fungal Infection,1 times a day for 5 days,2024-04-21,M10004
PR20930,P08839,V1007,Nutritional Deficiency,1 times a day for 12 days,2024-06-05,M10000
PR20931,P01951,V1000,Mild Infection,3 times a day for 10 days,2025-02-09,M10004
PR20932,P09110,V1005,Mild Infection,3 times a day for 3 days,2024-07-01,M10004
PR20933,P05662,V1042,Tooth Decay,1 times a day for 14 days,2024-01-07,M10014
PR20934,P02758,V1018,Nutritional Deficiency,1 times a day for 13 days,2024-02-17,M10000
PR20935,P07353,V1046,Fracture,3 times a day for 11 days,2024-08-12,M10082
PR20936,P09781,V1020,Nutritional Deficiency,2 times a day for 13 days,2024-11-16,M10000
PR20937,P03226,V1029,Fracture,3 times a day for 13 days,2025-02-12,M10002
PR20938,P07211,V1031,Fungal Infection,2 times a day for 12 days,2024-10-23,M10004
PR20939,P09777,V1023,Nutritional Deficiency,3 times a day for 8 days,2024-10-18,M10000
PR20940,P07792,V1008,Mild Infection,1 times a day for 5 days,2024-07-04,M10004
PR20941,P09955,V1041,Allergic Dermatitis,3 times a day for 5 days,2024-02-29,M10000
PR20942,P05102,V1040,Nutritional Deficiency,3 times a day for 8 days,2025-01-11,M10000
PR20943,P04396,V1031,Allergic Dermatitis,2 times a day for 5 days,2024-11-24,M10000
PR20944,P09069,V1046,Severe Infection,3 times a day for 14 days,2024-10-18,M10002
PR20945,P00596,V1011,Mild Infection,3 times a day for 14 days,2024-05-02,M10004
PR20946,P02299,V1032,Severe Infection,2 times a day for 5 days,2025-02-18,M10002
PR20947,P06884,V1041,Mild Infection,1 times a day for 4 days,2024-12-12,M10004
PR20948,P05723,V1041,Allergic Dermatitis,2 times a day for 10 days,2024-03-24,M10000
PR20949,P02099,V1014,Mild Infection,1 times a day for 6 days,2024-10-20,M10004
PR20950,P04045,V1033,Severe Gingivitis,1 times a day for 4 days,2024-08-24,M10004
PR20951,P01975,V1043,Severe Gingivitis,1 times a day for 8 days,2024-01-16,M10004
PR20952,P07846,V1004,Tooth Decay,3 times a day for 8 days,2025-02-11,M10066
PR20953,P07775,V1030,Internal Injury,2 times a day for 10 days,2024-06-03,M10014
