BillID,AppointmentID,Total_amt,Payment_Date,Payment_Status
B10775,A11962,227,,Pending
B10776,A11963,80,11/8/2024,Completed
B10777,A11965,122,6/13/2024,Completed
B10778,A11971,399,,Pending
B10779,A11972,179,,Pending
B10780,A11981,218,5/17/2024,Completed
B10781,A11982,130,7/3/2024,Completed
B10782,A11986,454,,Pending
B10783,A11987,249,,Pending
B10784,A11989,363,,Pending
B10785,A11990,475,,Pending
B10786,A11995,103,,Pending
B10787,A11998,89,,Pending
B10788,A11999,146,10/5/2024,Completed
B10789,A12006,197,,Pending
B10790,A12008,149,,Pending
B10791,A12009,94,,Pending
B10792,A12012,175,8/6/2024,Completed
B10793,A12013,188,,Pending
B10794,A12016,434,6/7/2024,Completed
B10795,A12019,143,9/22/2024,Completed
B10796,A12022,78,,Pending
B10797,A12023,218,,Pending
B10798,A12028,387,12/15/2024,Completed
B10799,A12029,95,11/19/2024,Completed
B10800,A12030,54,,Pending
B10801,A12032,205,3/19/2024,Completed
B10802,A12033,138,3/25/2024,Completed
B10803,A12034,472,11/18/2024,Completed
B10804,A12035,384,,Pending
B10805,A12041,60,7/13/2024,Completed
B10806,A12042,417,11/17/2024,Completed
B10807,A12043,478,7/13/2024,Completed
B10808,A12046,207,,Pending
B10809,A12050,160,12/21/2024,Completed
B10810,A12051,82,11/5/2024,Completed
B10811,A12053,192,6/26/2024,Completed
B10812,A12055,298,,Pending
B10813,A12062,479,9/27/2024,Completed
B10814,A12064,493,4/10/2024,Completed
B10815,A12065,474,3/6/2024,Completed
B10816,A12066,190,3/24/2024,Completed
B10817,A12068,311,11/12/2024,Completed
B10818,A12071,157,,Pending
B10819,A12072,429,3/7/2024,Completed
B10820,A12074,102,,Pending
B10821,A12078,68,10/27/2024,Completed
B10822,A12079,437,8/22/2024,Completed
B10823,A12081,416,,Pending
B10824,A12083,180,2/22/2024,Completed
B10825,A12084,332,,Pending
B10826,A12086,284,,Pending
B10827,A12088,121,,Pending
B10828,A12090,438,1/18/2024,Completed
B10829,A12093,367,6/6/2024,Completed
B10830,A12097,354,,Pending
B10831,A12098,466,4/29/2024,Completed
B10832,A12100,387,4/3/2024,Completed
B10833,A12101,477,1/23/2025,Completed
B10834,A12103,475,2/16/2025,Completed
B10835,A12106,407,,Pending
B10836,A12107,479,,Pending
B10837,A12109,191,3/2/2024,Completed
B10838,A12110,370,3/5/2024,Completed
B10839,A12112,331,12/22/2024,Completed
B10840,A12113,465,9/2/2024,Completed
B10841,A12117,132,8/12/2024,Completed
B10842,A12121,318,,Pending
B10843,A12122,374,,Pending
B10844,A12123,389,10/2/2024,Completed
B10845,A12125,320,10/30/2024,Completed
B10846,A12128,282,2/29/2024,Completed
B10847,A12129,403,12/18/2024,Completed
B10848,A12130,344,,Pending
B10849,A12135,305,6/6/2024,Completed
B10850,A12138,454,2/24/2025,Completed
B10851,A12140,442,11/28/2024,Completed
B10852,A12143,169,7/7/2024,Completed
B10853,A12146,226,,Pending
B10854,A12149,465,,Pending
B10855,A12156,350,,Pending
B10856,A12160,173,12/29/2024,Completed
B10857,A12163,397,4/8/2024,Completed
B10858,A12164,368,12/23/2024,Completed
B10859,A12165,424,3/20/2024,Completed
B10860,A12166,483,,Pending
B10861,A12171,500,,Pending
B10862,A12173,436,,Pending
B10863,A12176,205,,Pending
B10864,A12179,191,,Pending
B10865,A12180,372,,Pending
B10866,A12181,172,,Pending
B10867,A12183,152,,Pending
B10868,A12188,388,5/18/2024,Completed
B10869,A12189,431,,Pending
B10870,A12192,278,,Pending
B10871,A12193,133,,Pending
B10872,A12198,494,,Pending
B10873,A12199,440,2/1/2024,Completed
B10874,A12201,276,4/27/2024,Completed
B10875,A12213,165,,Pending
B10876,A12215,139,,Pending
B10877,A12219,428,,Pending
B10878,A12220,68,,Pending
B10879,A12222,444,,Pending
B10880,A12225,81,9/29/2024,Completed
B10881,A12227,317,9/6/2024,Completed
B10882,A12228,200,7/22/2024,Completed
B10883,A12230,397,9/19/2024,Completed
B10884,A12232,295,,Pending
B10885,A12235,443,,Pending
B10886,A12236,287,2/13/2024,Completed
B10887,A12237,393,,Pending
B10888,A12239,118,,Pending
B10889,A12240,391,12/14/2024,Completed
B10890,A12248,484,2/7/2025,Completed
B10891,A12249,216,,Pending
B10892,A12253,326,1/29/2025,Completed
B10893,A12254,391,12/23/2024,Completed
B10894,A12262,369,10/31/2024,Completed
B10895,A12263,455,5/12/2024,Completed
B10896,A12265,470,,Pending
B10897,A12266,300,,Pending
B10898,A12272,55,,Pending
B10899,A12282,76,3/11/2024,Completed
B10900,A12283,187,10/7/2024,Completed
B10901,A12286,464,5/22/2024,Completed
B10902,A12288,442,6/2/2024,Completed
B10903,A12290,137,,Pending
B10904,A12291,117,12/20/2024,Completed
B10905,A12292,348,,Pending
B10906,A12294,399,,Pending
B10907,A12295,158,8/8/2024,Completed
B10908,A12297,165,,Pending
B10909,A12302,143,,Pending
B10910,A12305,460,12/13/2024,Completed
B10911,A12306,268,,Pending
B10912,A12307,93,,Pending
B10913,A12310,155,,Pending
B10914,A12317,384,9/26/2024,Completed
B10915,A12318,221,8/3/2024,Completed
B10916,A12321,389,8/27/2024,Completed
B10917,A12325,397,7/9/2024,Completed
B10918,A12327,275,6/9/2024,Completed
B10919,A12329,302,,Pending
B10920,A12330,364,2/11/2025,Completed
B10921,A12332,53,7/27/2024,Completed
B10922,A12336,498,,Pending
B10923,A12338,337,4/14/2024,Completed
B10924,A12339,426,2/6/2025,Completed
B10925,A12340,316,3/12/2024,Completed
B10926,A12342,229,,Pending
B10927,A12343,77,,Pending
B10928,A12347,135,5/20/2024,Completed
B10929,A12351,81,,Pending
B10930,A12354,390,6/25/2024,Completed
B10931,A12357,277,9/15/2024,Completed
B10932,A12358,250,,Pending
B10933,A12360,470,5/15/2024,Completed
B10934,A12361,281,5/22/2024,Completed
B10935,A12362,438,,Pending
B10936,A12363,179,,Pending
B10937,A12364,206,9/10/2024,Completed
B10938,A12368,473,4/2/2024,Completed
B10939,A12374,156,,Pending
B10940,A12376,256,6/18/2024,Completed
B10941,A12377,204,,Pending
B10942,A12378,461,,Pending
B10943,A12381,415,11/7/2024,Completed
B10944,A12383,440,2/2/2024,Completed
B10945,A12386,499,,Pending
B10946,A12387,175,,Pending
B10947,A12388,406,,Pending
B10948,A12390,99,,Pending
B10949,A12391,255,1/31/2024,Completed
B10950,A12395,354,5/23/2024,Completed
B10951,A12397,284,2/19/2024,Completed
B10952,A12398,63,3/19/2024,Completed
B10953,A12404,351,12/24/2024,Completed
B10954,A12405,429,1/22/2024,Completed
B10955,A12406,180,,Pending
B10956,A12407,270,,Pending
B10957,A12408,241,2/10/2024,Completed
B10958,A12412,358,5/24/2024,Completed
B10959,A12413,240,10/26/2024,Completed
B10960,A12414,191,7/25/2024,Completed
B10961,A12416,245,,Pending
B10962,A12418,289,,Pending
B10963,A12425,70,,Pending
B10964,A12426,449,,Pending
B10965,A12428,78,,Pending
B10966,A12430,451,9/21/2024,Completed
B10967,A12431,309,8/13/2024,Completed
B10968,A12437,300,,Pending
B10969,A12439,167,10/1/2024,Completed
B10970,A12440,66,6/4/2024,Completed
B10971,A12446,278,4/22/2024,Completed
B10972,A12448,141,9/13/2024,Completed
B10973,A12451,309,6/2/2024,Completed
B10974,A12452,154,1/28/2024,Completed
B10975,A12454,242,,Pending
B10976,A12456,324,,Pending
B10977,A12458,198,,Pending
B10978,A12460,401,,Pending
B10979,A12461,482,,Pending
B10980,A12462,259,,Pending
B10981,A12463,415,8/19/2024,Completed
B10982,A12474,460,2/3/2025,Completed
B10983,A12476,475,,Pending
B10984,A12478,133,,Pending
B10985,A12480,153,2/2/2024,Completed
B10986,A12483,276,11/6/2024,Completed
B10987,A12484,371,,Pending
B10988,A12487,122,,Pending
B10989,A12488,374,1/20/2024,Completed
B10990,A12491,431,4/1/2024,Completed
B10991,A12494,418,,Pending
B10992,A12495,331,,Pending
B10993,A12496,89,,Pending
B10994,A12497,82,5/27/2024,Completed
B10995,A12506,57,,Pending
B10996,A12509,146,3/30/2024,Completed
B10997,A12519,361,3/27/2024,Completed
B10998,A12525,200,10/22/2024,Completed
B10999,A12526,136,10/21/2024,Completed
B11000,A12527,439,1/17/2024,Completed
B11001,A12529,216,,Pending
B11002,A12530,355,11/21/2024,Completed
B11003,A12533,142,2/19/2024,Completed
B11004,A12537,420,5/21/2024,Completed
B11005,A12540,456,5/27/2024,Completed
B11006,A12541,196,2/14/2024,Completed
B11007,A12546,83,12/16/2024,Completed
B11008,A12547,460,3/30/2024,Completed
B11009,A12551,332,5/22/2024,Completed
B11010,A12555,147,1/23/2025,Completed
B11011,A12558,318,6/17/2024,Completed
B11012,A12562,289,4/4/2024,Completed
B11013,A12565,290,,Pending
B11014,A12566,105,,Pending
B11015,A12569,353,1/2/2025,Completed
B11016,A12570,461,10/28/2024,Completed
B11017,A12572,329,12/3/2024,Completed
B11018,A12574,497,,Pending
B11019,A12575,266,2/18/2025,Completed
B11020,A12579,266,,Pending
B11021,A12586,302,5/6/2024,Completed
B11022,A12590,249,,Pending
B11023,A12601,160,,Pending
B11024,A12602,131,,Pending
B11025,A12604,216,5/10/2024,Completed
B11026,A12610,55,,Pending
B11027,A12611,467,,Pending
B11028,A12613,302,,Pending
B11029,A12616,103,,Pending
B11030,A12620,73,,Pending
B11031,A12625,74,,Pending
B11032,A12626,232,,Pending
B11033,A12631,320,2/22/2025,Completed
B11034,A12633,112,,Pending
B11035,A12634,113,8/27/2024,Completed
B11036,A12635,294,,Pending
B11037,A12637,455,,Pending
B11038,A12639,480,9/23/2024,Completed
B11039,A12641,166,10/3/2024,Completed
B11040,A12643,179,10/25/2024,Completed
B11041,A12644,139,,Pending
B11042,A12647,347,6/14/2024,Completed
B11043,A12649,114,6/14/2024,Completed
B11044,A12651,251,,Pending
B11045,A12654,344,,Pending
B11046,A12660,487,8/26/2024,Completed
B11047,A12663,418,,Pending
B11048,A12665,380,,Pending
B11049,A12666,367,8/3/2024,Completed
B11050,A12667,189,1/13/2024,Completed
B11051,A12668,424,,Pending
B11052,A12669,426,6/2/2024,Completed
B11053,A12671,388,3/3/2024,Completed
B11054,A12672,149,,Pending
B11055,A12673,259,4/26/2024,Completed
B11056,A12680,385,4/9/2024,Completed
B11057,A12683,151,7/17/2024,Completed
B11058,A12685,258,11/25/2024,Completed
B11059,A12688,167,,Pending
B11060,A12693,433,2/17/2024,Completed
B11061,A12695,160,,Pending
B11062,A12696,350,,Pending
B11063,A12700,192,,Pending
B11064,A12701,378,,Pending
B11065,A12704,402,12/30/2024,Completed
B11066,A12706,155,,Pending
B11067,A12711,402,,Pending
B11068,A12715,393,,Pending
B11069,A12716,473,,Pending
B11070,A12717,473,,Pending
B11071,A12718,437,10/3/2024,Completed
B11072,A12719,414,6/8/2024,Completed
B11073,A12720,317,1/20/2025,Completed
B11074,A12722,220,12/29/2024,Completed
B11075,A12727,98,7/13/2024,Completed
B11076,A12729,50,,Pending
B11077,A12731,205,,Pending
B11078,A12733,394,2/7/2024,Completed
B11079,A12739,387,4/30/2024,Completed
B11080,A12744,57,,Pending
B11081,A12745,218,,Pending
B11082,A12746,103,,Pending
B11083,A12748,276,,Pending
B11084,A12749,205,8/7/2024,Completed
B11085,A12754,208,7/25/2024,Completed
B11086,A12756,498,,Pending
B11087,A12757,91,1/3/2024,Completed
B11088,A12758,300,6/20/2024,Completed
B11089,A12760,64,,Pending
B11090,A12766,275,9/28/2024,Completed
B11091,A12767,244,,Pending
B11092,A12769,70,11/5/2024,Completed
B11093,A12773,150,5/22/2024,Completed
B11094,A12777,336,2/5/2024,Completed
B11095,A12780,68,2/13/2024,Completed
B11096,A12782,184,,Pending
B11097,A12783,294,,Pending
B11098,A12784,202,,Pending
B11099,A12788,454,,Pending
B11100,A12793,52,9/2/2024,Completed
B11101,A12794,158,,Pending
B11102,A12796,251,,Pending
B11103,A12797,451,,Pending
B11104,A12798,180,,Pending
B11105,A12801,269,7/4/2024,Completed
B11106,A12806,434,8/7/2024,Completed
B11107,A12810,311,3/25/2024,Completed
B11108,A12811,451,,Pending
B11109,A12813,151,5/14/2024,Completed
B11110,A12819,456,7/25/2024,Completed
B11111,A12820,287,7/8/2024,Completed
B11112,A12822,138,12/7/2024,Completed
B11113,A12824,119,,Pending
B11114,A12829,371,,Pending
B11115,A12830,496,4/20/2024,Completed
B11116,A12831,289,5/12/2024,Completed
B11117,A12833,389,2/19/2024,Completed
B11118,A12835,166,11/5/2024,Completed
B11119,A12837,336,,Pending
B11120,A12838,272,2/28/2024,Completed
B11121,A12841,152,,Pending
B11122,A12842,111,,Pending
B11123,A12847,96,,Pending
B11124,A12848,214,,Pending
B11125,A12849,235,1/19/2024,Completed
B11126,A12851,334,,Pending
B11127,A12856,143,10/29/2024,Completed
B11128,A12860,232,9/8/2024,Completed
B11129,A12862,382,,Pending
B11130,A12865,270,5/9/2024,Completed
B11131,A12866,419,,Pending
B11132,A12876,95,8/6/2024,Completed
B11133,A12877,387,,Pending
B11134,A12878,431,,Pending
B11135,A12883,332,,Pending
B11136,A12884,487,6/17/2024,Completed
B11137,A12885,110,2/1/2024,Completed
B11138,A12889,127,2/28/2024,Completed
B11139,A12890,145,1/16/2025,Completed
B11140,A12893,464,8/28/2024,Completed
B11141,A12894,104,1/12/2025,Completed
B11142,A12903,430,,Pending
B11143,A12905,354,,Pending
B11144,A12906,136,,Pending
B11145,A12907,246,2/4/2024,Completed
B11146,A12908,128,,Pending
B11147,A12909,487,10/9/2024,Completed
B11148,A12916,428,,Pending
B11149,A12923,490,,Pending
B11150,A12924,134,2/8/2025,Completed
B11151,A12925,76,2/20/2025,Completed
B11152,A12926,66,9/12/2024,Completed
B11153,A12927,63,,Pending
B11154,A12929,254,,Pending
B11155,A12930,77,1/18/2024,Completed
B11156,A12932,243,,Pending
B11157,A12937,422,1/6/2024,Completed
B11158,A12939,414,11/27/2024,Completed
B11159,A12945,170,,Pending
B11160,A12948,153,12/29/2024,Completed
B11161,A12953,266,,Pending
B11162,A12954,215,7/16/2024,Completed
B11163,A12956,250,,Pending
B11164,A12957,370,10/19/2024,Completed
B11165,A12963,368,,Pending
B11166,A12965,393,8/12/2024,Completed
B11167,A12967,173,,Pending
B11168,A12979,449,,Pending
B11169,A12983,79,,Pending
B11170,A12985,122,,Pending
B11171,A12989,299,,Pending
B11172,A12992,124,2/8/2024,Completed
B11173,A12993,81,,Pending
B11174,A12998,207,2/2/2024,Completed
B11175,A12999,416,,Pending
B11176,A13000,387,7/3/2024,Completed
B11177,A13001,264,5/28/2024,Completed
B11178,A13007,315,,Pending
B11179,A13010,269,,Pending
B11180,A13011,183,6/9/2024,Completed
B11181,A13012,198,3/1/2024,Completed
B11182,A13014,66,,Pending
B11183,A13015,388,1/1/2025,Completed
B11184,A13019,203,,Pending
B11185,A13020,402,4/21/2024,Completed
B11186,A13021,79,7/7/2024,Completed
B11187,A13024,268,,Pending
B11188,A13026,214,,Pending
B11189,A13029,256,,Pending
B11190,A13030,173,2/9/2025,Completed
B11191,A13031,496,5/17/2024,Completed
B11192,A13032,118,4/29/2024,Completed
B11193,A13037,71,,Pending
B11194,A13040,71,,Pending
B11195,A13043,487,12/18/2024,Completed
B11196,A13044,358,10/28/2024,Completed
B11197,A13046,416,,Pending
B11198,A13047,139,10/30/2024,Completed
B11199,A13050,222,,Pending
B11200,A13051,430,,Pending
B11201,A13053,249,,Pending
B11202,A13058,455,5/8/2024,Completed
B11203,A13061,306,,Pending
B11204,A13062,281,,Pending
B11205,A13064,217,4/12/2024,Completed
B11206,A13067,418,5/7/2024,Completed
B11207,A13068,184,5/11/2024,Completed
B11208,A13069,313,,Pending
B11209,A13071,189,2/1/2024,Completed
B11210,A13077,348,2/29/2024,Completed
B11211,A13078,390,,Pending
B11212,A13081,256,,Pending
B11213,A13083,99,7/4/2024,Completed
B11214,A13084,347,9/2/2024,Completed
B11215,A13090,358,,Pending
B11216,A13094,106,9/7/2024,Completed
B11217,A13095,346,4/30/2024,Completed
B11218,A13098,277,,Pending
B11219,A13100,136,,Pending
B11220,A13101,406,,Pending
B11221,A13107,398,,Pending
B11222,A13110,104,9/15/2024,Completed
B11223,A13113,87,,Pending
B11224,A13115,302,,Pending
B11225,A13117,216,3/11/2024,Completed
B11226,A13118,90,5/22/2024,Completed
B11227,A13122,466,6/13/2024,Completed
B11228,A13130,201,,Pending
B11229,A13132,282,,Pending
B11230,A13134,345,11/13/2024,Completed
B11231,A13136,480,,Pending
B11232,A13138,259,6/6/2024,Completed
B11233,A13144,460,8/1/2024,Completed
B11234,A13148,300,4/29/2024,Completed
B11235,A13149,419,,Pending
B11236,A13151,296,5/13/2024,Completed
B11237,A13154,441,1/22/2024,Completed
B11238,A13155,398,1/5/2025,Completed
B11239,A13158,119,,Pending
B11240,A13159,204,,Pending
B11241,A13160,387,,Pending
B11242,A13162,84,2/9/2024,Completed
B11243,A13163,69,3/13/2024,Completed
B11244,A13166,301,,Pending
B11245,A13169,451,,Pending
B11246,A13172,483,1/11/2024,Completed
B11247,A13177,299,2/15/2025,Completed
B11248,A13178,442,,Pending
B11249,A13180,371,1/20/2024,Completed
B11250,A13184,362,4/17/2024,Completed
B11251,A13185,414,,Pending
B11252,A13188,144,8/7/2024,Completed
B11253,A13193,103,,Pending
B11254,A13203,150,,Pending
B11255,A13206,65,4/26/2024,Completed
B11256,A13207,366,12/25/2024,Completed
B11257,A13208,252,2/22/2025,Completed
B11258,A13210,77,6/27/2024,Completed
B11259,A13211,64,,Pending
B11260,A13213,296,,Pending
B11261,A13214,251,3/9/2024,Completed
B11262,A13219,374,7/16/2024,Completed
B11263,A13220,299,,Pending
B11264,A13225,91,1/7/2024,Completed
B11265,A13226,364,9/18/2024,Completed
B11266,A13228,209,,Pending
B11267,A13230,184,12/25/2024,Completed
B11268,A13232,459,,Pending
B11269,A13235,343,,Pending
B11270,A13237,286,8/14/2024,Completed
B11271,A13239,190,,Pending
B11272,A13240,212,7/24/2024,Completed
B11273,A13243,441,3/2/2024,Completed
B11274,A13248,389,,Pending
B11275,A13249,449,8/1/2024,Completed
B11276,A13251,62,12/15/2024,Completed
B11277,A13254,447,,Pending
B11278,A13256,147,,Pending
B11279,A13257,262,,Pending
B11280,A13258,477,1/29/2024,Completed
B11281,A13259,240,,Pending
B11282,A13265,323,12/29/2024,Completed
B11283,A13268,414,5/21/2024,Completed
B11284,A13271,442,,Pending
B11285,A13278,479,,Pending
B11286,A13280,175,,Pending
B11287,A13287,235,,Pending
B11288,A13289,298,,Pending
B11289,A13291,225,6/25/2024,Completed
B11290,A13293,466,,Pending
B11291,A13295,448,,Pending
B11292,A13298,291,,Pending
B11293,A13299,138,,Pending
B11294,A13301,231,,Pending
B11295,A13304,84,10/30/2024,Completed
B11296,A13306,64,,Pending
B11297,A13308,434,2/16/2025,Completed
B11298,A13309,250,,Pending
B11299,A13315,281,1/15/2024,Completed
B11300,A13317,154,9/24/2024,Completed
B11301,A13321,201,7/8/2024,Completed
B11302,A13324,153,,Pending
B11303,A13325,457,6/15/2024,Completed
B11304,A13328,468,,Pending
B11305,A13330,359,7/17/2024,Completed
B11306,A13331,127,5/17/2024,Completed
B11307,A13335,235,,Pending
B11308,A13338,380,5/31/2024,Completed
B11309,A13344,115,,Pending
B11310,A13347,154,9/9/2024,Completed
B11311,A13348,424,1/31/2024,Completed
B11312,A13351,176,8/13/2024,Completed
B11313,A13355,296,,Pending
B11314,A13357,146,7/18/2024,Completed
B11315,A13368,153,,Pending
B11316,A13372,442,,Pending
B11317,A13373,53,12/10/2024,Completed
B11318,A13374,298,,Pending
B11319,A13375,352,,Pending
B11320,A13376,447,,Pending
B11321,A13377,329,,Pending
B11322,A13382,95,7/7/2024,Completed
B11323,A13384,189,2/22/2024,Completed
B11324,A13385,144,,Pending
B11325,A13386,294,5/2/2024,Completed
B11326,A13391,257,7/26/2024,Completed
B11327,A13392,235,11/6/2024,Completed
B11328,A13393,309,,Pending
B11329,A13394,52,,Pending
B11330,A13395,206,10/6/2024,Completed
B11331,A13398,413,4/14/2024,Completed
B11332,A13400,94,10/2/2024,Completed
B11333,A13403,331,,Pending
B11334,A13404,257,11/13/2024,Completed
B11335,A13405,273,12/30/2024,Completed
B11336,A13409,450,,Pending
B11337,A13412,194,4/30/2024,Completed
B11338,A13413,203,,Pending
B11339,A13416,196,7/16/2024,Completed
B11340,A13419,341,,Pending
B11341,A13423,57,,Pending
B11342,A13426,408,,Pending
B11343,A13427,269,,Pending
B11344,A13429,148,,Pending
B11345,A13430,465,,Pending
B11346,A13431,296,,Pending
B11347,A13433,485,,Pending
B11348,A13435,386,,Pending
B11349,A13436,216,1/8/2025,Completed
B11350,A13440,253,,Pending
B11351,A13442,266,,Pending
B11352,A13447,176,,Pending
B11353,A13449,339,,Pending
B11354,A13450,465,,Pending
B11355,A13451,468,,Pending
B11356,A13453,498,,Pending
B11357,A13457,299,9/12/2024,Completed
B11358,A13460,338,,Pending
B11359,A13462,319,,Pending
B11360,A13466,348,,Pending
B11361,A13467,116,,Pending
B11362,A13468,446,,Pending
B11363,A13469,373,11/18/2024,Completed
B11364,A13473,339,,Pending
B11365,A13475,265,2/13/2025,Completed
B11366,A13476,427,2/13/2024,Completed
B11367,A13478,262,,Pending
B11368,A13481,499,,Pending
B11369,A13485,318,8/20/2024,Completed
B11370,A13492,164,1/21/2024,Completed
B11371,A13493,270,,Pending
B11372,A13496,277,12/31/2024,Completed
B11373,A13502,309,,Pending
B11374,A13505,149,,Pending
B11375,A13506,341,7/20/2024,Completed
B11376,A13507,389,5/24/2024,Completed
B11377,A13508,302,11/20/2024,Completed
B11378,A13509,463,,Pending
B11379,A13510,145,2/11/2025,Completed
B11380,A13519,308,5/4/2024,Completed
B11381,A13521,285,,Pending
B11382,A13523,75,,Pending
B11383,A13525,272,8/1/2024,Completed
B11384,A13526,434,6/17/2024,Completed
B11385,A13528,278,12/18/2024,Completed
B11386,A13531,456,8/13/2024,Completed
B11387,A13534,431,,Pending
B11388,A13537,409,,Pending
B11389,A13541,122,,Pending
B11390,A13544,226,,Pending
B11391,A13545,130,,Pending
B11392,A13550,214,,Pending
B11393,A13552,272,7/31/2024,Completed
B11394,A13556,310,5/3/2024,Completed
B11395,A13558,324,,Pending
B11396,A13561,117,,Pending
B11397,A13562,408,,Pending
B11398,A13565,488,7/19/2024,Completed
B11399,A13566,201,,Pending
B11400,A13567,350,8/29/2024,Completed
B11401,A13571,327,11/6/2024,Completed
B11402,A13576,416,10/7/2024,Completed
B11403,A13584,212,4/1/2024,Completed
B11404,A13586,464,,Pending
B11405,A13589,434,,Pending
B11406,A13590,334,1/12/2025,Completed
B11407,A13594,127,,Pending
B11408,A13597,108,,Pending
B11409,A13600,249,,Pending
B11410,A13602,288,,Pending
B11411,A13605,210,,Pending
B11412,A13606,247,5/12/2024,Completed
B11413,A13615,109,,Pending
B11414,A13618,435,2/7/2025,Completed
B11415,A13622,467,,Pending
B11416,A13623,151,,Pending
B11417,A13627,161,,Pending
B11418,A13629,196,2/19/2025,Completed
B11419,A13633,473,,Pending
B11420,A13634,189,5/14/2024,Completed
B11421,A13636,62,8/5/2024,Completed
B11422,A13637,301,7/21/2024,Completed
B11423,A13639,413,,Pending
B11424,A13641,395,12/14/2024,Completed
B11425,A13647,280,,Pending
B11426,A13648,132,,Pending
B11427,A13654,167,,Pending
B11428,A13656,264,10/4/2024,Completed
B11429,A13658,267,,Pending
B11430,A13659,184,4/12/2024,Completed
B11431,A13660,294,,Pending
B11432,A13661,287,,Pending
B11433,A13662,227,5/30/2024,Completed
B11434,A13665,162,,Pending
B11435,A13670,483,8/18/2024,Completed
B11436,A13674,319,,Pending
B11437,A13677,122,,Pending
B11438,A13680,94,,Pending
B11439,A13681,401,,Pending
B11440,A13685,452,7/16/2024,Completed
B11441,A13688,378,11/19/2024,Completed
B11442,A13689,68,,Pending
B11443,A13690,438,9/9/2024,Completed
B11444,A13691,474,,Pending
B11445,A13692,198,1/30/2024,Completed
B11446,A13693,478,10/29/2024,Completed
B11447,A13694,327,3/11/2024,Completed
B11448,A13696,102,,Pending
B11449,A13702,334,3/13/2024,Completed
B11450,A13703,343,,Pending
B11451,A13705,362,4/8/2024,Completed
B11452,A13711,404,,Pending
B11453,A13714,448,5/27/2024,Completed
B11454,A13716,336,9/10/2024,Completed
B11455,A13722,87,12/3/2024,Completed
B11456,A13724,93,,Pending
B11457,A13726,372,2/4/2024,Completed
B11458,A13728,54,5/4/2024,Completed
B11459,A13729,444,2/18/2025,Completed
B11460,A13731,451,12/8/2024,Completed
B11461,A13732,440,3/13/2024,Completed
B11462,A13734,62,,Pending
B11463,A13735,110,,Pending
B11464,A13741,204,2/22/2024,Completed
B11465,A13742,364,3/22/2024,Completed
B11466,A13746,369,6/2/2024,Completed
B11467,A13747,185,3/15/2024,Completed
B11468,A13749,130,,Pending
B11469,A13752,434,,Pending
B11470,A13753,201,,Pending
B11471,A13760,277,2/3/2025,Completed
B11472,A13762,237,,Pending
B11473,A13763,176,,Pending
B11474,A13769,120,5/13/2024,Completed
B11475,A13775,284,12/21/2024,Completed
B11476,A13780,473,,Pending
B11477,A13781,229,,Pending
B11478,A13782,367,7/16/2024,Completed
B11479,A13784,80,11/1/2024,Completed
B11480,A13789,253,10/14/2024,Completed
B11481,A13790,372,8/29/2024,Completed
B11482,A13791,192,,Pending
B11483,A13795,473,9/24/2024,Completed
B11484,A13798,70,,Pending
B11485,A13802,98,2/29/2024,Completed
B11486,A13803,488,,Pending
B11487,A13811,363,,Pending
B11488,A13812,138,,Pending
B11489,A13813,148,,Pending
B11490,A13815,61,8/20/2024,Completed
B11491,A13816,402,11/5/2024,Completed
B11492,A13817,105,2/23/2024,Completed
B11493,A13819,487,,Pending
B11494,A13824,103,,Pending
B11495,A13825,242,4/6/2024,Completed
B11496,A13827,353,4/4/2024,Completed
B11497,A13829,340,,Pending
B11498,A13830,334,,Pending
B11499,A13832,395,2/16/2025,Completed
B11500,A13835,405,7/29/2024,Completed
B11501,A13840,439,10/29/2024,Completed
B11502,A13847,270,10/22/2024,Completed
B11503,A13849,347,,Pending
B11504,A13853,69,,Pending
B11505,A13854,278,2/5/2024,Completed
B11506,A13855,371,1/10/2024,Completed
B11507,A13856,110,2/18/2025,Completed
B11508,A13857,313,12/3/2024,Completed
B11509,A13860,182,,Pending
B11510,A13862,304,,Pending
B11511,A13867,248,1/22/2024,Completed
B11512,A13870,201,2/27/2024,Completed
B11513,A13872,277,,Pending
B11514,A13873,233,6/2/2024,Completed
B11515,A13876,485,2/15/2024,Completed
B11516,A13885,346,,Pending
B11517,A13893,367,11/3/2024,Completed
B11518,A13894,453,2/6/2024,Completed
B11519,A13897,391,,Pending
B11520,A13902,180,,Pending
B11521,A13906,178,,Pending
B11522,A13908,259,,Pending
B11523,A13910,159,,Pending
B11524,A13913,259,,Pending
B11525,A13915,489,,Pending
B11526,A13916,370,,Pending
B11527,A13917,268,,Pending
B11528,A13919,143,,Pending
B11529,A13921,402,5/20/2024,Completed
B11530,A13922,69,5/1/2024,Completed
B11531,A13925,285,,Pending
B11532,A13930,271,,Pending
B11533,A13933,379,,Pending
B11534,A13941,498,,Pending
B11535,A13943,272,,Pending
B11536,A13947,217,,Pending
B11537,A13949,209,,Pending
B11538,A13953,67,7/10/2024,Completed
B11539,A13954,101,4/21/2024,Completed
B11540,A13955,321,,Pending
B11541,A13958,439,,Pending
B11542,A13959,446,11/22/2024,Completed
B11543,A13965,178,,Pending
B11544,A13969,179,1/7/2024,Completed
B11545,A13970,163,9/7/2024,Completed
B11546,A13971,228,,Pending
B11547,A13972,240,12/1/2024,Completed
B11548,A13979,162,,Pending
B11549,A13980,412,,Pending
