AppointmentID,PetID,VetID,ServiceType,ApptDate,Status,LocationID
A11450,P05810,V1042,Tooth Extraction,4/19/2025,Cancelled,L002
A11451,P03452,V1007,Checkup,9/10/2025,Cancelled,L002
A11452,P06281,V1037,Checkup,1/24/2024,Completed,L002
A11453,P01803,V1048,Surgery,10/10/2024,Completed,L001
A11454,P09642,V1003,Emergency,10/15/2026,Cancelled,L001
A11455,P01211,V1020,Checkup,11/7/2026,Scheduled,L002
A11456,P00022,V1045,Checkup,11/9/2024,Completed,L001
A11457,P06068,V1020,Neurological Exam,10/30/2025,Cancelled,L002
A11458,P03435,V1001,Checkup,10/2/2025,Cancelled,L002
A11459,P05019,V1002,Heart Screening,3/31/2025,Cancelled,L001
A11460,P05209,V1004,Checkup,4/27/2026,Scheduled,L002
A11461,P02722,V1015,Surgery,1/19/2026,Cancelled,L001
A11462,P05669,V1016,Emergency,7/13/2024,Completed,L001
A11463,P06222,V1008,Neurological Exam,7/6/2024,Completed,L001
A11464,P01410,V1035,Checkup,8/13/2024,Completed,L002
A11465,P09267,V1040,Emergency,3/7/2024,Completed,L002
A11466,P03288,V1049,Emergency,6/2/2025,Cancelled,L001
A11467,P09731,V1004,Tooth Extraction,3/15/2024,Completed,L002
A11468,P00779,V1045,Checkup,9/30/2025,Cancelled,L001
A11469,P00417,V1033,Dental Cleaning,3/2/2026,Cancelled,L001
A11470,P05447,V1007,Emergency,7/29/2025,Scheduled,L001
A11471,P06620,V1016,Emergency,1/27/2025,Completed,L002
A11472,P03970,V1022,Checkup,4/7/2024,Completed,L002
A11473,P00434,V1003,Surgery,10/1/2026,Scheduled,L002
A11474,P02562,V1042,Checkup,3/2/2026,Scheduled,L002
A11475,P09181,V1048,Surgery,8/14/2026,Cancelled,L002
A11476,P07101,V1023,Skin Treatment,5/5/2026,Cancelled,L002
A11477,P00505,V1045,Skin Treatment,8/29/2024,Completed,L001
A11478,P00369,V1028,Heart Screening,10/19/2024,Completed,L001
A11479,P01310,V1014,Checkup,7/20/2024,Completed,L002
A11480,P08804,V1026,Emergency,7/13/2024,Completed,L001
A11481,P09028,V1034,Dental Cleaning,9/17/2025,Scheduled,L002
A11482,P05813,V1032,Checkup,3/25/2026,Scheduled,L002
A11483,P04522,V1048,Emergency,7/7/2025,Cancelled,L001
A11484,P02159,V1008,Emergency,4/10/2024,Completed,L001
A11485,P00887,V1005,Dental Cleaning,11/28/2025,Scheduled,L002
A11486,P07149,V1032,Heart Screening,2/27/2025,Completed,L002
A11487,P04697,V1019,Surgery,11/8/2024,Completed,L002
A11488,P05991,V1001,Checkup,9/19/2025,Scheduled,L002
A11489,P06690,V1042,Dental Cleaning,3/11/2025,Cancelled,L001
A11490,P00856,V1013,Emergency,1/14/2025,Completed,L001
A11491,P09363,V1018,Neurological Exam,3/5/2024,Completed,L001
A11492,P05396,V1043,Checkup,12/21/2025,Cancelled,L001
A11493,P06942,V1038,Tooth Extraction,8/1/2026,Cancelled,L001
A11494,P07087,V1015,Surgery,7/26/2025,Scheduled,L002
A11495,P07528,V1047,Dental Cleaning,6/30/2025,Scheduled,L002
A11496,P05261,V1013,Surgery,1/31/2026,Cancelled,L001
A11497,P01801,V1048,Emergency,1/1/2025,Completed,L002
A11498,P08673,V1006,Skin Treatment,6/18/2026,Scheduled,L001
A11499,P00977,V1016,Surgery,3/28/2024,Completed,L001
A11500,P03571,V1034,Checkup,3/9/2026,Cancelled,L001
A11501,P01160,V1006,Checkup,6/12/2025,Cancelled,L002
A11502,P01262,V1018,Checkup,10/7/2026,Scheduled,L001
A11503,P07850,V1018,Neurological Exam,5/14/2026,Scheduled,L001
A11504,P06439,V1020,Neurological Exam,5/6/2026,Cancelled,L001
A11505,P04033,V1031,Checkup,3/15/2026,Cancelled,L001
A11506,P06771,V1035,Dental Cleaning,4/28/2025,Scheduled,L002
A11507,P02788,V1030,Surgery,8/15/2026,Cancelled,L002
A11508,P05695,V1034,Tooth Extraction,1/16/2024,Completed,L002
A11509,P08513,V1018,Checkup,5/13/2024,Completed,L001
A11510,P06969,V1001,Skin Treatment,12/12/2024,Completed,L001
A11511,P07531,V1012,Neurological Exam,12/7/2024,Completed,L001
A11512,P08093,V1049,Emergency,11/22/2026,Scheduled,L001
A11513,P02504,V1011,Emergency,3/4/2024,Completed,L002
A11514,P02397,V1013,Emergency,1/3/2026,Scheduled,L001
A11515,P03612,V1044,Checkup,3/22/2026,Cancelled,L001
A11516,P08949,V1008,Emergency,8/25/2025,Scheduled,L001
A11517,P04509,V1002,Heart Screening,3/26/2026,Cancelled,L002
A11518,P00272,V1040,Emergency,4/29/2024,Completed,L002
A11519,P00513,V1040,Emergency,6/30/2024,Completed,L002
A11520,P02306,V1005,Tooth Extraction,7/29/2025,Scheduled,L002
A11521,P06017,V1039,Checkup,11/1/2024,Completed,L001
A11522,P06633,V1041,Checkup,5/21/2024,Completed,L002
A11523,P06975,V1015,Surgery,1/4/2024,Completed,L002
A11524,P06067,V1008,Neurological Exam,12/2/2025,Scheduled,L001
A11525,P05355,V1020,Emergency,1/21/2026,Scheduled,L001
A11526,P04998,V1039,Checkup,12/30/2026,Scheduled,L001
A11527,P05567,V1013,Emergency,4/20/2025,Cancelled,L002
A11528,P09796,V1020,Neurological Exam,11/7/2024,Completed,L002
A11529,P02287,V1042,Tooth Extraction,3/27/2026,Scheduled,L001
A11530,P05749,V1000,Heart Screening,9/3/2025,Cancelled,L001
A11531,P04373,V1039,Skin Treatment,3/22/2026,Cancelled,L002
A11532,P06351,V1044,Emergency,3/17/2024,Completed,L002
A11533,P02929,V1002,Checkup,5/28/2025,Scheduled,L001
A11534,P00831,V1042,Checkup,8/9/2024,Completed,L001
A11535,P02784,V1026,Neurological Exam,3/26/2024,Completed,L002
A11536,P04203,V1034,Tooth Extraction,8/13/2026,Cancelled,L002
A11537,P01605,V1004,Checkup,1/7/2026,Cancelled,L001
A11538,P02078,V1012,Emergency,9/27/2024,Completed,L002
A11539,P01926,V1037,Skin Treatment,2/21/2024,Completed,L001
A11540,P02415,V1019,Emergency,12/13/2024,Completed,L001
A11541,P04297,V1034,Tooth Extraction,10/18/2025,Scheduled,L001
A11542,P07422,V1044,Emergency,2/13/2026,Scheduled,L001
A11543,P01629,V1041,Checkup,1/17/2025,Completed,L001
A11544,P09540,V1018,Neurological Exam,3/14/2024,Completed,L002
A11545,P03174,V1022,Checkup,4/30/2026,Cancelled,L001
A11546,P06848,V1031,Skin Treatment,6/4/2026,Scheduled,L001
A11547,P05618,V1049,Emergency,2/3/2025,Completed,L001
A11548,P05973,V1045,Checkup,1/23/2024,Completed,L002
A11549,P09702,V1028,Heart Screening,4/2/2026,Scheduled,L001
A11550,P04821,V1044,Checkup,8/14/2024,Completed,L001
A11551,P00892,V1036,Emergency,6/22/2024,Completed,L001
A11552,P03734,V1047,Tooth Extraction,5/23/2026,Cancelled,L002
A11553,P06557,V1048,Emergency,9/9/2024,Completed,L002
A11554,P04865,V1045,Checkup,3/17/2026,Cancelled,L001
A11555,P00762,V1043,Tooth Extraction,8/6/2025,Scheduled,L002
A11556,P00366,V1011,Neurological Exam,1/25/2026,Cancelled,L001
A11557,P00639,V1033,Tooth Extraction,5/23/2024,Completed,L002
A11558,P05661,V1003,Emergency,9/30/2024,Completed,L001
A11559,P08002,V1009,Emergency,8/12/2025,Scheduled,L002
A11560,P03144,V1019,Surgery,12/8/2026,Scheduled,L001
A11561,P03582,V1040,Checkup,8/19/2026,Scheduled,L001
A11562,P03782,V1026,Checkup,11/16/2025,Cancelled,L002
A11563,P04635,V1040,Emergency,2/13/2025,Completed,L002
A11564,P06248,V1026,Emergency,2/11/2025,Completed,L002
A11565,P02588,V1031,Checkup,1/13/2026,Scheduled,L002
A11566,P03075,V1009,Surgery,4/12/2024,Completed,L001
A11567,P08373,V1010,Neurological Exam,9/12/2026,Scheduled,L001
A11568,P04197,V1028,Checkup,9/19/2024,Completed,L001
A11569,P04995,V1037,Checkup,3/5/2026,Cancelled,L002
A11570,P04846,V1005,Checkup,2/14/2024,Completed,L002
A11571,P07181,V1046,Surgery,1/1/2025,Completed,L001
A11572,P01183,V1049,Emergency,5/27/2026,Cancelled,L001
A11573,P04690,V1048,Emergency,9/18/2025,Cancelled,L002
A11574,P06860,V1015,Surgery,1/17/2024,Completed,L001
A11575,P08280,V1043,Tooth Extraction,2/6/2025,Completed,L001
A11576,P04615,V1001,Skin Treatment,11/1/2025,Scheduled,L001
A11577,P07864,V1040,Heart Screening,3/22/2026,Scheduled,L001
A11578,P03565,V1023,Checkup,7/17/2024,Completed,L001
A11579,P07605,V1031,Skin Treatment,1/18/2024,Completed,L001
A11580,P00220,V1030,Surgery,12/20/2025,Cancelled,L001
A11581,P06547,V1032,Emergency,1/13/2025,Completed,L002
A11582,P06357,V1008,Emergency,2/2/2026,Cancelled,L001
A11583,P00648,V1026,Neurological Exam,5/28/2026,Cancelled,L001
A11584,P03234,V1024,Surgery,12/11/2025,Scheduled,L001
A11585,P04415,V1047,Checkup,6/3/2024,Completed,L002
A11586,P05135,V1011,Checkup,8/31/2025,Scheduled,L001
A11587,P08963,V1045,Skin Treatment,1/30/2024,Completed,L002
A11588,P04257,V1022,Checkup,12/3/2026,Cancelled,L002
A11589,P04419,V1032,Emergency,7/22/2026,Cancelled,L001
A11590,P01713,V1010,Emergency,12/10/2025,Cancelled,L001
A11591,P06569,V1045,Checkup,11/26/2025,Cancelled,L001
A11592,P06410,V1038,Dental Cleaning,8/14/2026,Cancelled,L002
A11593,P04190,V1039,Checkup,10/31/2025,Scheduled,L001
A11594,P09024,V1010,Neurological Exam,5/29/2025,Scheduled,L002
A11595,P08047,V1040,Emergency,3/5/2026,Scheduled,L001
A11596,P06095,V1048,Surgery,12/13/2025,Cancelled,L001
A11597,P07334,V1001,Checkup,3/15/2026,Cancelled,L001
A11598,P01878,V1018,Checkup,9/23/2025,Scheduled,L001
A11599,P02476,V1007,Emergency,7/20/2025,Cancelled,L001
A11600,P07713,V1002,Emergency,4/5/2024,Completed,L002
A11601,P00485,V1008,Neurological Exam,4/26/2024,Completed,L002
A11602,P05477,V1001,Checkup,12/20/2025,Scheduled,L002
A11603,P05362,V1035,Checkup,9/8/2026,Scheduled,L001
A11604,P08191,V1019,Surgery,10/15/2024,Completed,L002
A11605,P00631,V1015,Surgery,10/1/2026,Scheduled,L002
A11606,P02474,V1017,Checkup,3/27/2026,Cancelled,L001
A11607,P07887,V1024,Emergency,5/4/2026,Cancelled,L001
A11608,P03538,V1045,Checkup,1/26/2026,Scheduled,L002
A11609,P07086,V1030,Emergency,1/4/2025,Completed,L001
A11610,P03055,V1003,Surgery,5/2/2026,Scheduled,L002
A11611,P00114,V1018,Emergency,11/24/2025,Scheduled,L002
A11612,P06691,V1029,Checkup,4/11/2024,Completed,L001
A11613,P09255,V1010,Emergency,3/14/2025,Scheduled,L001
A11614,P08241,V1036,Checkup,7/2/2026,Scheduled,L001
A11615,P02870,V1039,Skin Treatment,7/20/2025,Cancelled,L002
A11616,P02974,V1038,Dental Cleaning,6/24/2025,Scheduled,L001
A11617,P00541,V1038,Checkup,11/1/2026,Scheduled,L001
A11618,P06485,V1041,Skin Treatment,5/15/2024,Completed,L002
A11619,P09801,V1037,Checkup,11/23/2026,Cancelled,L001
A11620,P06372,V1033,Dental Cleaning,4/23/2024,Completed,L002
A11621,P01141,V1021,Skin Treatment,8/27/2024,Completed,L001
A11622,P04990,V1023,Checkup,4/21/2024,Completed,L001
A11623,P07287,V1035,Tooth Extraction,11/14/2024,Completed,L002
A11624,P09932,V1025,Checkup,12/6/2026,Cancelled,L001
A11625,P01723,V1005,Dental Cleaning,4/24/2024,Completed,L001
A11626,P05902,V1009,Surgery,1/16/2026,Cancelled,L001
A11627,P03151,V1036,Heart Screening,1/13/2024,Completed,L001
A11628,P06260,V1032,Checkup,8/10/2025,Cancelled,L001
A11629,P00668,V1046,Surgery,11/7/2026,Cancelled,L001
A11630,P00579,V1007,Heart Screening,8/12/2025,Cancelled,L001
A11631,P01805,V1032,Checkup,10/27/2026,Cancelled,L001
A11632,P02730,V1045,Skin Treatment,1/26/2025,Completed,L001
A11633,P05793,V1021,Skin Treatment,2/6/2024,Completed,L001
A11634,P07177,V1031,Skin Treatment,9/22/2026,Cancelled,L001
A11635,P08562,V1035,Checkup,7/3/2024,Completed,L002
A11636,P06227,V1038,Dental Cleaning,10/17/2025,Scheduled,L002
A11637,P08204,V1045,Checkup,6/1/2026,Cancelled,L001
A11638,P09563,V1014,Skin Treatment,1/10/2025,Completed,L002
A11639,P01298,V1042,Checkup,10/28/2026,Scheduled,L002
A11640,P06646,V1013,Emergency,10/21/2025,Cancelled,L002
A11641,P01722,V1014,Checkup,8/14/2025,Cancelled,L002
A11642,P03063,V1043,Dental Cleaning,7/8/2026,Scheduled,L001
A11643,P09670,V1011,Emergency,4/2/2025,Scheduled,L002
A11644,P03061,V1040,Heart Screening,5/2/2025,Scheduled,L002
A11645,P02115,V1040,Emergency,9/26/2025,Scheduled,L002
A11646,P04185,V1010,Checkup,9/17/2024,Completed,L001
A11647,P10000,V1006,Checkup,4/30/2026,Cancelled,L002
A11648,P00265,V1007,Emergency,10/10/2024,Completed,L002
A11649,P08416,V1010,Checkup,2/26/2025,Completed,L001
A11650,P01824,V1048,Emergency,10/22/2026,Scheduled,L001
A11651,P02081,V1037,Skin Treatment,11/29/2026,Cancelled,L002
A11652,P08140,V1011,Checkup,8/25/2026,Cancelled,L001
A11653,P03567,V1012,Neurological Exam,4/30/2024,Completed,L002
A11654,P09472,V1002,Checkup,11/24/2025,Scheduled,L001
A11655,P00104,V1010,Emergency,8/7/2026,Scheduled,L001
A11656,P01483,V1048,Surgery,8/29/2024,Completed,L001
A11657,P04433,V1028,Emergency,1/14/2025,Completed,L002
A11658,P07016,V1017,Skin Treatment,11/2/2025,Cancelled,L001
A11659,P02786,V1043,Dental Cleaning,1/5/2024,Completed,L002
A11660,P07860,V1026,Checkup,3/2/2025,Scheduled,L001
A11661,P07915,V1045,Skin Treatment,10/10/2026,Cancelled,L002
A11662,P09034,V1027,Checkup,6/28/2026,Scheduled,L002
A11663,P07960,V1027,Checkup,7/16/2025,Scheduled,L002
A11664,P02837,V1009,Emergency,6/21/2025,Scheduled,L002
A11665,P08067,V1013,Surgery,8/5/2024,Completed,L001
A11666,P07892,V1009,Surgery,7/9/2025,Scheduled,L002
A11667,P00962,V1003,Emergency,9/21/2025,Cancelled,L001
A11668,P01713,V1031,Checkup,9/12/2025,Cancelled,L002
A11669,P08231,V1024,Emergency,7/6/2025,Cancelled,L001
A11670,P02146,V1004,Dental Cleaning,11/15/2026,Scheduled,L002
A11671,P07514,V1047,Checkup,10/8/2025,Cancelled,L001
A11672,P00977,V1033,Dental Cleaning,11/28/2024,Completed,L002
A11673,P08197,V1034,Checkup,2/16/2026,Scheduled,L001
A11674,P01389,V1009,Emergency,2/18/2024,Completed,L001
A11675,P02019,V1021,Skin Treatment,6/30/2024,Completed,L002
A11676,P00890,V1032,Emergency,9/7/2025,Scheduled,L002
A11677,P07542,V1018,Checkup,12/15/2024,Completed,L002
A11678,P07534,V1011,Emergency,11/23/2024,Completed,L001
A11679,P02106,V1031,Skin Treatment,7/31/2025,Cancelled,L002
A11680,P03042,V1009,Surgery,2/20/2024,Completed,L001
A11681,P06144,V1000,Emergency,7/30/2026,Cancelled,L001
A11682,P00627,V1008,Neurological Exam,10/25/2024,Completed,L002
A11683,P08470,V1046,Surgery,3/21/2024,Completed,L002
A11684,P04971,V1015,Surgery,5/13/2024,Completed,L001
A11685,P00816,V1021,Checkup,8/14/2024,Completed,L001
A11686,P04000,V1047,Tooth Extraction,1/25/2025,Completed,L001
A11687,P01262,V1037,Checkup,1/15/2025,Completed,L001
A11688,P01418,V1011,Emergency,4/16/2026,Scheduled,L001
A11689,P01025,V1037,Checkup,12/19/2026,Cancelled,L001
A11690,P03334,V1045,Checkup,1/26/2025,Completed,L002
A11691,P07886,V1002,Heart Screening,11/3/2024,Completed,L002
A11692,P04434,V1049,Surgery,6/15/2026,Scheduled,L002
A11693,P04592,V1033,Checkup,3/21/2026,Cancelled,L001
A11694,P01357,V1037,Skin Treatment,3/11/2024,Completed,L002
A11695,P09541,V1021,Skin Treatment,10/14/2026,Cancelled,L001
A11696,P05475,V1048,Surgery,7/17/2024,Completed,L001
A11697,P09942,V1011,Checkup,10/18/2025,Scheduled,L001
A11698,P07679,V1029,Checkup,8/7/2025,Scheduled,L001
A11699,P06078,V1020,Emergency,5/16/2025,Cancelled,L001
A11700,P04193,V1017,Checkup,4/3/2025,Scheduled,L002
A11701,P07501,V1043,Checkup,6/1/2024,Completed,L001
A11702,P05771,V1042,Checkup,4/27/2026,Scheduled,L001
A11703,P02517,V1048,Emergency,7/22/2025,Cancelled,L001
A11704,P07738,V1022,Checkup,10/14/2025,Scheduled,L002
A11705,P05271,V1032,Heart Screening,6/22/2024,Completed,L002
A11706,P05160,V1021,Skin Treatment,4/28/2026,Scheduled,L002
A11707,P01587,V1021,Skin Treatment,1/8/2026,Cancelled,L001
A11708,P02109,V1033,Dental Cleaning,2/19/2025,Completed,L002
A11709,P06803,V1007,Checkup,12/25/2026,Scheduled,L001
A11710,P04516,V1012,Neurological Exam,1/2/2024,Completed,L002
A11711,P06800,V1027,Skin Treatment,8/13/2026,Cancelled,L001
A11712,P02257,V1026,Checkup,4/26/2024,Completed,L002
A11713,P05962,V1033,Dental Cleaning,7/22/2024,Completed,L001
A11714,P04692,V1014,Checkup,6/24/2025,Scheduled,L002
A11715,P04969,V1003,Surgery,6/5/2024,Completed,L002
A11716,P08420,V1006,Skin Treatment,8/5/2026,Scheduled,L001
A11717,P07236,V1023,Skin Treatment,2/7/2025,Completed,L001
A11718,P05146,V1010,Neurological Exam,10/24/2024,Completed,L002
A11719,P07431,V1043,Dental Cleaning,10/16/2024,Completed,L001
A11720,P08974,V1033,Checkup,10/14/2026,Scheduled,L001
A11721,P09354,V1014,Checkup,5/2/2025,Scheduled,L001
A11722,P04046,V1047,Checkup,5/4/2026,Cancelled,L002
A11723,P05561,V1008,Checkup,11/20/2024,Completed,L001
A11724,P03180,V1043,Tooth Extraction,2/28/2026,Cancelled,L001
A11725,P05095,V1017,Skin Treatment,8/6/2025,Cancelled,L002
A11726,P07678,V1010,Neurological Exam,12/31/2024,Completed,L001
A11727,P06934,V1029,Neurological Exam,7/13/2024,Completed,L002
A11728,P05209,V1021,Skin Treatment,4/13/2026,Cancelled,L001
A11729,P08569,V1043,Tooth Extraction,1/4/2024,Completed,L001
A11730,P03748,V1043,Checkup,11/27/2024,Completed,L001
A11731,P08607,V1010,Checkup,10/17/2024,Completed,L001
A11732,P03757,V1044,Neurological Exam,11/11/2026,Cancelled,L002
A11733,P07194,V1037,Checkup,12/27/2024,Completed,L002
A11734,P02870,V1035,Dental Cleaning,12/31/2025,Scheduled,L001
A11735,P08036,V1019,Surgery,7/30/2026,Cancelled,L001
A11736,P06665,V1046,Surgery,4/2/2025,Cancelled,L002
A11737,P03731,V1002,Checkup,12/2/2024,Completed,L001
A11738,P01193,V1014,Checkup,10/27/2024,Completed,L002
A11739,P06581,V1022,Checkup,2/11/2025,Completed,L001
A11740,P06535,V1013,Emergency,9/12/2026,Scheduled,L002
A11741,P02508,V1008,Neurological Exam,9/5/2025,Cancelled,L001
A11742,P02901,V1048,Emergency,4/27/2026,Scheduled,L002
A11743,P02160,V1006,Checkup,8/27/2025,Scheduled,L002
A11744,P03464,V1031,Checkup,9/28/2025,Cancelled,L001
A11745,P03072,V1009,Emergency,4/12/2026,Cancelled,L001
A11746,P09859,V1021,Skin Treatment,3/10/2025,Cancelled,L001
A11747,P05267,V1029,Neurological Exam,10/6/2025,Cancelled,L001
A11748,P02926,V1043,Tooth Extraction,5/28/2025,Scheduled,L001
A11749,P01171,V1002,Heart Screening,1/25/2026,Scheduled,L002
A11750,P03187,V1012,Emergency,3/13/2025,Scheduled,L001
A11751,P00427,V1009,Emergency,3/7/2024,Completed,L002
A11752,P03035,V1003,Emergency,7/29/2024,Completed,L002
A11753,P09284,V1049,Emergency,12/30/2026,Scheduled,L001
A11754,P06224,V1041,Checkup,3/9/2026,Cancelled,L001
A11755,P08592,V1005,Dental Cleaning,3/6/2026,Cancelled,L002
A11756,P07671,V1030,Surgery,7/12/2024,Completed,L002
A11757,P07303,V1030,Emergency,9/26/2025,Scheduled,L002
A11758,P09848,V1003,Surgery,3/14/2024,Completed,L002
A11759,P08522,V1013,Surgery,4/11/2026,Cancelled,L002
A11760,P03430,V1035,Tooth Extraction,11/6/2025,Scheduled,L001
A11761,P05075,V1028,Checkup,5/7/2025,Scheduled,L001
A11762,P09270,V1045,Skin Treatment,8/10/2025,Scheduled,L002
A11763,P05044,V1022,Skin Treatment,8/31/2026,Scheduled,L001
A11764,P09418,V1003,Emergency,9/24/2025,Scheduled,L002
A11765,P04381,V1013,Emergency,7/21/2025,Scheduled,L001
A11766,P07166,V1045,Skin Treatment,12/14/2026,Scheduled,L001
A11767,P08684,V1045,Checkup,11/20/2025,Scheduled,L001
A11768,P01238,V1039,Skin Treatment,7/29/2025,Cancelled,L002
A11769,P08830,V1016,Surgery,1/5/2024,Completed,L001
A11770,P05779,V1018,Neurological Exam,9/3/2026,Cancelled,L001
A11771,P04372,V1011,Checkup,3/21/2026,Cancelled,L002
A11772,P04995,V1032,Checkup,1/9/2025,Completed,L002
A11773,P08101,V1005,Dental Cleaning,12/23/2024,Completed,L001
A11774,P00537,V1019,Emergency,6/2/2025,Cancelled,L001
A11775,P02972,V1011,Emergency,1/28/2024,Completed,L001
A11776,P06040,V1038,Dental Cleaning,7/2/2025,Scheduled,L001
A11777,P05398,V1033,Checkup,8/25/2025,Cancelled,L001
A11778,P01093,V1001,Skin Treatment,6/21/2025,Scheduled,L001
A11779,P04630,V1027,Checkup,9/21/2026,Scheduled,L002
A11780,P07174,V1003,Emergency,1/19/2025,Completed,L001
A11781,P04899,V1048,Emergency,2/23/2026,Scheduled,L001
A11782,P07472,V1018,Checkup,9/3/2026,Cancelled,L001
A11783,P06909,V1006,Checkup,10/4/2026,Cancelled,L002
A11784,P05867,V1048,Emergency,7/21/2024,Completed,L001
A11785,P02027,V1047,Checkup,3/9/2026,Cancelled,L002
A11786,P00838,V1030,Emergency,3/19/2024,Completed,L002
A11787,P08563,V1048,Emergency,2/26/2025,Completed,L002
A11788,P03915,V1036,Emergency,3/25/2026,Cancelled,L002
A11789,P04892,V1004,Dental Cleaning,8/16/2024,Completed,L001
A11790,P08567,V1045,Skin Treatment,2/17/2025,Completed,L001
A11791,P03553,V1018,Emergency,1/31/2026,Cancelled,L002
A11792,P03115,V1043,Tooth Extraction,2/11/2025,Completed,L001
A11793,P02060,V1020,Neurological Exam,7/8/2025,Scheduled,L001
A11794,P09687,V1023,Checkup,10/15/2026,Scheduled,L001
A11795,P01968,V1019,Surgery,6/20/2026,Scheduled,L002
A11796,P02854,V1001,Checkup,9/17/2025,Cancelled,L002
A11797,P06835,V1045,Skin Treatment,12/7/2026,Cancelled,L001
A11798,P02795,V1049,Emergency,7/6/2024,Completed,L001
A11799,P09243,V1018,Emergency,9/27/2024,Completed,L001
A11800,P07520,V1015,Surgery,1/27/2025,Completed,L002
A11801,P00296,V1020,Checkup,7/8/2026,Cancelled,L002
A11802,P01633,V1048,Surgery,1/29/2024,Completed,L002
A11803,P02005,V1007,Heart Screening,8/27/2024,Completed,L001
A11804,P02606,V1025,Checkup,12/3/2025,Cancelled,L001
A11805,P06390,V1035,Tooth Extraction,4/25/2025,Scheduled,L002
A11806,P01904,V1045,Checkup,9/15/2025,Scheduled,L002
A11807,P01066,V1006,Skin Treatment,3/9/2026,Cancelled,L001
A11808,P09288,V1036,Checkup,12/11/2024,Completed,L002
A11809,P00574,V1012,Neurological Exam,10/21/2025,Cancelled,L001
A11810,P02760,V1011,Checkup,7/28/2026,Scheduled,L001
A11811,P02038,V1044,Emergency,1/28/2024,Completed,L001
A11812,P01218,V1022,Skin Treatment,4/26/2024,Completed,L001
A11813,P04034,V1007,Checkup,8/16/2026,Cancelled,L002
A11814,P06388,V1029,Checkup,6/4/2025,Scheduled,L001
A11815,P05913,V1015,Surgery,10/20/2026,Cancelled,L002
A11816,P08119,V1025,Emergency,12/19/2025,Cancelled,L001
A11817,P08381,V1011,Checkup,6/4/2024,Completed,L001
A11818,P04156,V1016,Surgery,5/14/2025,Scheduled,L001
A11819,P09337,V1001,Checkup,8/17/2025,Scheduled,L002
A11820,P07939,V1048,Emergency,2/13/2026,Scheduled,L002
A11821,P08818,V1037,Checkup,12/4/2024,Completed,L002
A11822,P03432,V1007,Emergency,1/5/2025,Completed,L002
A11823,P09201,V1027,Skin Treatment,8/28/2025,Scheduled,L002
A11824,P00891,V1006,Checkup,8/19/2024,Completed,L001
A11825,P07494,V1001,Checkup,11/30/2026,Cancelled,L001
A11826,P03393,V1009,Surgery,10/25/2026,Cancelled,L001
A11827,P06417,V1001,Checkup,12/5/2024,Completed,L001
A11828,P03359,V1044,Checkup,6/1/2026,Cancelled,L002
A11829,P06276,V1016,Surgery,8/29/2024,Completed,L002
A11830,P07078,V1004,Tooth Extraction,12/20/2026,Cancelled,L001
A11831,P05235,V1019,Surgery,11/17/2024,Completed,L001
A11832,P03667,V1037,Skin Treatment,1/29/2025,Completed,L002
A11833,P03176,V1045,Skin Treatment,9/23/2024,Completed,L002
A11834,P00745,V1006,Checkup,8/14/2026,Scheduled,L001
A11835,P08794,V1027,Skin Treatment,8/8/2026,Cancelled,L001
A11836,P02674,V1028,Heart Screening,7/30/2024,Completed,L001
A11837,P09283,V1043,Checkup,9/6/2024,Completed,L001
A11838,P00120,V1002,Emergency,6/16/2024,Completed,L002
A11839,P01868,V1007,Heart Screening,8/22/2025,Cancelled,L001
A11840,P09759,V1038,Tooth Extraction,7/22/2026,Scheduled,L001
A11841,P05596,V1026,Checkup,11/19/2025,Scheduled,L001
A11842,P03340,V1016,Emergency,8/1/2024,Completed,L001
A11843,P00865,V1049,Surgery,3/13/2026,Cancelled,L002
A11844,P09627,V1005,Checkup,9/9/2024,Completed,L001
A11845,P06039,V1020,Neurological Exam,2/5/2025,Completed,L001
A11846,P05392,V1033,Tooth Extraction,10/28/2025,Cancelled,L001
A11847,P03016,V1012,Neurological Exam,4/21/2025,Scheduled,L002
A11848,P09862,V1047,Dental Cleaning,7/16/2026,Cancelled,L002
A11849,P02870,V1003,Surgery,5/4/2025,Cancelled,L001
A11850,P02367,V1039,Skin Treatment,5/26/2025,Cancelled,L001
A11851,P02807,V1004,Dental Cleaning,4/4/2025,Cancelled,L001
A11852,P05992,V1041,Skin Treatment,1/1/2025,Completed,L001
A11853,P02017,V1032,Checkup,9/2/2024,Completed,L001
A11854,P00441,V1032,Emergency,8/4/2026,Scheduled,L001
A11855,P03665,V1021,Checkup,1/24/2026,Scheduled,L002
A11856,P02050,V1025,Checkup,1/6/2024,Completed,L002
A11857,P03598,V1030,Surgery,2/22/2024,Completed,L001
A11858,P01197,V1042,Tooth Extraction,2/23/2024,Completed,L002
A11859,P00901,V1049,Surgery,3/23/2024,Completed,L001
A11860,P01413,V1012,Checkup,6/16/2026,Scheduled,L001
A11861,P00224,V1011,Neurological Exam,6/20/2026,Scheduled,L002
A11862,P06978,V1020,Emergency,7/29/2026,Cancelled,L002
A11863,P03136,V1015,Surgery,9/23/2025,Scheduled,L002
A11864,P04079,V1033,Dental Cleaning,5/22/2024,Completed,L002
A11865,P04076,V1007,Checkup,11/3/2024,Completed,L001
A11866,P05296,V1033,Tooth Extraction,12/29/2025,Scheduled,L001
A11867,P09917,V1004,Dental Cleaning,4/26/2025,Cancelled,L001
A11868,P04315,V1003,Emergency,1/17/2024,Completed,L002
